game_id,event_seq,we_home_after,we_home_before,inning,score_margin_abs,runners_on,outs,clutch
g1,0,0.52,0.50,1,0,0,0,0
g1,1,0.51,0.52,1,0,1,0,0
g1,2,0.48,0.51,1,0,1,1,0
g1,3,0.55,0.48,1,1,1,1,0
g1,4,0.53,0.55,2,1,0,0,0
g1,5,0.50,0.53,2,0,0,1,0
g1,6,0.58,0.50,5,2,2,1,0
g1,7,0.62,0.58,6,2,1,2,0
g1,8,0.45,0.62,7,1,2,1,1
g1,9,0.55,0.45,8,0,3,0,1
g1,10,0.30,0.55,8,1,2,1,1
g1,11,0.40,0.30,9,1,1,0,1
g1,12,0.65,0.40,9,2,2,1,1
g1,13,0.95,0.65,9,3,0,2,0
g2,0,0.50,0.50,1,0,0,0,0
g2,1,0.46,0.50,1,1,0,1,0
g2,2,0.55,0.46,3,0,1,0,0
g2,3,0.60,0.55,5,1,1,1,0
g2,4,0.42,0.60,7,0,3,0,1
g2,5,0.35,0.42,7,1,2,1,1
g2,6,0.58,0.35,8,0,3,1,1
g2,7,0.72,0.58,8,1,1,2,1
g2,8,0.85,0.72,9,2,0,1,0
g2,9,0.40,0.85,9,1,3,1,1
