pitcher_id,outing_id,pitch_seq,pitch_speed_kmh,pitch_type_idx,inning,outs,runners_on,batter_lineup_pos,allowed_baserunner
p1,o1,1,148,0,1,0,0,1,0
p1,o1,2,147,0,1,0,0,1,0
p1,o1,3,146,4,1,0,0,1,0
p1,o1,4,148,0,1,1,0,2,0
p1,o1,5,135,6,1,1,0,2,0
p1,o1,6,147,0,1,2,0,3,0
p1,o1,7,146,4,1,2,0,3,1
p1,o2,1,145,0,3,0,0,4,0
p1,o2,2,143,0,3,0,0,4,0
p1,o2,3,128,5,3,1,0,5,0
p1,o2,4,144,0,3,1,1,5,1
p2,o3,80,140,0,7,0,0,1,0
p2,o3,81,138,4,7,0,1,1,0
p2,o3,82,137,4,7,0,1,2,0
p2,o3,83,135,4,7,1,1,2,1
p2,o4,90,134,4,8,1,2,5,0
p2,o4,91,132,4,8,1,2,6,0
p2,o4,92,130,5,8,2,2,6,1
p3,o5,40,150,0,5,0,0,1,0
p3,o5,41,149,0,5,0,0,1,0
p3,o5,42,147,4,5,1,0,2,0
p3,o5,43,148,0,5,2,0,3,0
p3,o5,44,146,0,5,2,0,3,0
p3,o5,45,135,6,5,2,0,4,0
