season,date,home_team,away_team,home_score,away_score
2024,2024-04-01,HH,LG,5,3
2024,2024-04-01,KIA,SSG,2,6
2024,2024-04-01,KT,SAMSUNG,7,4
2024,2024-04-01,KIWOOM,NC,1,8
2024,2024-04-01,LOTTE,HAN,3,3
2024,2024-04-02,LG,HH,4,2
2024,2024-04-02,SSG,KIA,5,5
2024,2024-04-02,SAMSUNG,KT,9,2
2024,2024-04-02,NC,KIWOOM,3,4
2024,2024-04-02,HAN,LOTTE,1,0
2024,2024-04-03,HH,KIA,6,4
2024,2024-04-03,LG,SSG,2,3
2024,2024-04-03,KT,NC,8,1
2024,2024-04-03,SAMSUNG,LOTTE,2,5
2024,2024-04-03,KIWOOM,HAN,3,7
2024,2024-04-04,KIA,HH,5,2
2024,2024-04-04,SSG,LG,1,4
2024,2024-04-04,NC,KT,4,7
2024,2024-04-04,LOTTE,SAMSUNG,3,3
2024,2024-04-04,HAN,KIWOOM,9,2
2024,2024-04-05,HH,SSG,7,6
2024,2024-04-05,LG,KIA,3,2
2024,2024-04-05,KT,KIWOOM,5,4
2024,2024-04-05,SAMSUNG,NC,1,2
2024,2024-04-05,LOTTE,HAN,4,5
2024,2024-04-06,SSG,HH,2,3
2024,2024-04-06,KIA,LG,6,5
2024,2024-04-06,KIWOOM,KT,1,3
2024,2024-04-06,NC,SAMSUNG,7,4
2024,2024-04-06,HAN,LOTTE,2,4
2024,2024-04-07,HH,NC,3,5
2024,2024-04-07,LG,LOTTE,8,1
2024,2024-04-07,KT,SSG,4,5
2024,2024-04-07,SAMSUNG,KIA,6,3
2024,2024-04-07,KIWOOM,HAN,2,7
2024,2024-04-08,NC,HH,4,6
2024,2024-04-08,LOTTE,LG,2,9
2024,2024-04-08,SSG,KT,7,7
2024,2024-04-08,KIA,SAMSUNG,5,4
2024,2024-04-08,HAN,KIWOOM,3,1
2024,2024-04-09,HH,LOTTE,2,1
2024,2024-04-09,LG,NC,4,3
2024,2024-04-09,KT,KIA,6,2
2024,2024-04-09,SAMSUNG,KIWOOM,5,3
2024,2024-04-09,HAN,SSG,4,6
2024,2024-04-10,LOTTE,HH,3,5
2024,2024-04-10,NC,LG,1,4
2024,2024-04-10,KIA,KT,2,3
2024,2024-04-10,KIWOOM,SAMSUNG,4,2
2024,2024-04-10,SSG,HAN,7,5
2024,2024-04-11,HH,KT,4,3
2024,2024-04-11,LG,SAMSUNG,5,2
2024,2024-04-11,SSG,KIWOOM,6,4
2024,2024-04-11,KIA,NC,3,7
2024,2024-04-11,LOTTE,HAN,2,1
2024,2024-04-12,KT,HH,1,2
2024,2024-04-12,SAMSUNG,LG,6,5
2024,2024-04-12,KIWOOM,SSG,2,3
2024,2024-04-12,NC,KIA,5,4
2024,2024-04-12,HAN,LOTTE,3,2
2024,2024-04-13,HH,SAMSUNG,4,6
2024,2024-04-13,LG,KT,3,2
2024,2024-04-13,SSG,NC,5,4
2024,2024-04-13,KIA,LOTTE,8,3
2024,2024-04-13,KIWOOM,HAN,1,5
2024,2024-04-14,SAMSUNG,HH,5,4
2024,2024-04-14,KT,LG,2,3
2024,2024-04-14,NC,SSG,4,2
2024,2024-04-14,LOTTE,KIA,3,5
2024,2024-04-14,HAN,KIWOOM,7,2
